2018-10-22,14:20:26,C04_001_T01,237.391917,70.348089,C04_001T01_9000002446,Blank Sky-8,laxpc1
2018-10-23,7:35:48,A05_064_T01,174.110000,70.157500,A05_064T01_9000002448,Mrk 180,sxt
2018-10-24,12:50:00,A05_064_T01,174.110000,70.157500,A05_064T01_9000002450,Mrk 180,sxt
2018-10-25,21:58:28,C04_007_T07,333.879167,-17.734722,C04_007T07_9000002452,XMMBlankF8,sxt
2018-10-26,12:23:00,A05_212_T01,2.469917,-18.270139,A05_212T01_9000002454,HE 0007-1832,uvit2
2018-10-26,14:00:28,A05_212_T01,2.469917,-18.270139,A05_212T01_9000002454,HE 0007-1832,uvit2
2018-10-26,14:34:56,A05_002_T09,63.938042,-55.592250,A05_002T09_9000002456,NGC 1549,uvit1
2018-10-26,14:46:02,A05_002_T09,63.938042,-55.592250,A05_002T09_9000002456,NGC 1549,uvit1
2018-10-26,16:12:24,A05_002_T09,63.938042,-55.592250,A05_002T09_9000002456,NGC 1549,uvit1
2018-10-26,17:42:02,A05_002_T07,64.476458,-55.932890,A05_002T07_9000002458,IC 2058,uvit1
2018-10-26,17:44:30,A05_002_T07,64.476458,-55.932890,A05_002T07_9000002458,IC 2058,uvit1
2018-10-26,19:19:28,A05_002_T07,64.476458,-55.932890,A05_002T07_9000002458,IC 2058,uvit1
2018-10-26,22:22:12,A05_002_T10,64.043629,-55.780140,A05_002T10_9000002460,NGC 1553,uvit1
2018-10-26,22:23:10,A05_002_T10,64.043629,-55.780140,A05_002T10_9000002460,NGC 1553,uvit1
2018-10-27,6:21:56,A05_078_T01,6.022329,-72.081444,A05_078T01_9000002462,47 Tuc,uvit1
2018-10-28,15:00:32,A05_104_T04,356.757079,29.471110,A05_104T04_9000002464,arp86,uvit1
2018-10-28,19:58:56,A05_101_T09,355.637292,-65.956500,A05_101T09_9000002466,NGC 7733,uvit1
2018-10-29,2:07:52,A05_225_T01,351.340621,28.495210,A05_225T01_9000002468,UGC 12591,uvit1
2018-10-29,5:39:56,A05_101_T07,24.356250,-64.896390,A05_101T07_9000002470,NGC 0646,uvit1
2018-10-29,10:16:04,A05_202_T01,58.239625,-68.521333,A05_202T01_9000002472,PKS 0352-686,sxt
2018-10-29,17:01:12,A05_225_T01,351.340621,28.495210,A05_225T01_9000002470,UGC 12591,uvit1
2018-10-29,20:04:36,T03_024_T01,83.633083,22.014500,T03_024T01_9000002472,Crab,czt1
2018-10-31,13:12:32,A05_059_T03,15.372500,-70.486583,A05_059T03_9000002474,SMC_Shell_3,uvit1
2018-10-31,16:05:52,A05_059_T04,16.168333,-71.225083,A05_059T04_9000002476,SMC_Shell_4,uvit1
2018-10-31,19:21:04,A05_059_T05,17.053750,-70.969139,A05_059T05_9000002478,SMC_Shell_5,uvit1
2018-11-01,0:50:00,A05_059_T07,18.268333,-71.038389,A05_059T07_9000002480,SMC_Shell_7,uvit1
2018-11-01,6:36:24,A05_101_T07,24.356250,-64.896390,A05_101T07_9000002482,NGC 0646,uvit1
2018-11-01,10:10:48,A05_202_T01,58.239625,-68.521333,A05_202T01_9000002484,PKS 0352-686,sxt
